id,strategy,status,total_royalty_micro,items,orders,created_at,earliest_processing_at,processing_started_at,processing_completed_at
93,TimeWindowBatch,3,3735731,20,8,2026-08-09T04:24:42.405Z,2026-08-09T04:29:42.405Z,2026-08-09T04:25:03.089Z,2026-08-09T04:26:12.417Z
94,TimeWindowBatch,3,1267359,5,3,2026-08-09T04:24:42.441Z,2026-08-09T04:29:42.441Z,2026-08-09T04:29:58.853Z,2026-08-09T04:30:32.485Z
95,TimeWindowBatch,3,3638038,20,7,2026-08-09T04:54:42.763Z,2026-08-09T04:59:42.762Z,2026-08-09T04:55:02.974Z,2026-08-09T04:56:12.788Z
96,TimeWindowBatch,3,1391135,9,3,2026-08-09T04:54:42.798Z,2026-08-09T04:59:42.797Z,2026-08-09T05:00:00.393Z,2026-08-09T05:01:12.848Z
97,TimeWindowBatch,3,3561261,20,7,2026-08-09T05:24:43.150Z,2026-08-09T05:29:43.150Z,2026-08-09T05:25:03.205Z,2026-08-09T05:25:53.154Z
98,TimeWindowBatch,3,1341705,10,4,2026-08-09T05:24:43.186Z,2026-08-09T05:29:43.186Z,2026-08-09T05:29:44.060Z,2026-08-09T05:31:13.218Z
99,TimeWindowBatch,3,2934678,20,9,2026-08-09T05:54:43.516Z,2026-08-09T05:59:43.514Z,2026-08-09T05:55:02.777Z,2026-08-09T05:55:33.533Z
100,TimeWindowBatch,4,75540,1,1,2026-08-09T05:54:43.552Z,2026-08-09T05:59:43.549Z,,2026-08-09T05:59:44.097Z
101,TimeWindowBatch,3,3326934,20,8,2026-08-09T06:24:43.879Z,2026-08-09T06:29:43.881Z,2026-08-09T06:25:18.070Z,2026-08-09T06:26:13.905Z
102,TimeWindowBatch,3,1148129,5,2,2026-08-09T06:24:58.903Z,2026-08-09T06:29:58.905Z,2026-08-09T06:30:00.316Z,2026-08-09T06:30:33.945Z
103,TimeWindowBatch,3,3184119,20,8,2026-08-09T06:54:59.276Z,2026-08-09T06:59:59.279Z,2026-08-09T06:55:18.428Z,2026-08-09T06:56:34.299Z
104,TimeWindowBatch,4,1440000,6,3,2026-08-09T06:54:59.311Z,2026-08-09T06:59:59.313Z,,2026-08-09T07:00:14.909Z
105,TimeWindowBatch,3,2236285,20,10,2026-08-09T07:24:59.655Z,2026-08-09T07:29:59.657Z,2026-08-09T07:30:03.918Z,2026-08-09T07:31:54.733Z
106,TimeWindowBatch,3,3882396,20,10,2026-08-09T07:55:00.047Z,2026-08-09T08:00:00.047Z,2026-08-09T07:55:16.200Z,2026-08-09T07:55:55.069Z
107,TimeWindowBatch,3,344430,2,1,2026-08-09T07:55:00.091Z,2026-08-09T08:00:00.091Z,2026-08-09T08:00:01.526Z,2026-08-09T08:00:35.119Z
