id,strategy,status,total_royalty_micro,items,orders,created_at,earliest_processing_at,processing_started_at,processing_completed_at
16,TimeWindowBatch,3,1176859,9,4,2026-08-03T04:42:57.295Z,2026-08-03T04:47:57.294Z,2026-08-03T04:48:16.791Z,2026-08-03T04:48:32.350Z
17,TimeWindowBatch,3,1015246,6,3,2026-08-03T04:49:12.337Z,2026-08-03T04:54:12.336Z,2026-08-03T04:54:13.249Z,2026-08-03T04:55:12.382Z
18,TimeWindowBatch,3,1846349,9,4,2026-08-03T05:35:57.776Z,2026-08-03T05:40:57.776Z,2026-08-03T05:41:02.511Z,2026-08-03T05:42:12.847Z
19,TimeWindowBatch,3,1663213,8,4,2026-08-03T05:42:27.834Z,2026-08-03T05:47:27.833Z,2026-08-03T05:47:29.154Z,2026-08-03T05:48:32.896Z
20,TimeWindowBatch,3,1097147,9,4,2026-08-03T05:48:42.882Z,2026-08-03T05:53:42.881Z,2026-08-03T05:53:59.696Z,2026-08-03T05:54:52.955Z
21,TimeWindowBatch,3,1258481,10,4,2026-08-03T05:54:57.930Z,2026-08-03T05:59:57.929Z,2026-08-03T06:00:14.231Z,2026-08-03T06:01:12.984Z
22,TimeWindowBatch,3,1690352,10,4,2026-08-03T06:01:27.962Z,2026-08-03T06:06:27.962Z,2026-08-03T06:06:32.849Z,2026-08-03T06:07:53.026Z
23,TimeWindowBatch,4,1651118,12,4,2026-08-03T06:07:43.011Z,2026-08-03T06:12:43.013Z,,2026-08-03T06:12:43.629Z
24,TimeWindowBatch,3,1186084,7,4,2026-08-03T06:13:58.059Z,2026-08-03T06:18:58.061Z,2026-08-03T06:19:02.918Z,2026-08-03T06:19:53.111Z
25,TimeWindowBatch,3,1244823,10,4,2026-08-03T06:20:28.109Z,2026-08-03T06:25:28.112Z,2026-08-03T06:25:30.147Z,2026-08-03T06:26:33.167Z
26,TimeWindowBatch,4,927420,7,4,2026-08-03T06:26:43.146Z,2026-08-03T06:31:43.149Z,,2026-08-03T06:31:43.628Z
