order_id,status,t_intake,t_unlocked,intakeToUnlockMs,unlockToIouSubmittedMs,iouSubmittedToConfirmedMs,iouConfirmedToSettleSubmittedMs,settleSubmittedToConfirmedMs,unlockToSettleConfirmedMs,intakeToSettleConfirmedMs
26,1,2026-08-03T04:42:13.649Z,2026-08-03T04:42:43.650Z,30001,333143,15570,14061,65936,428710,458711
27,1,2026-08-03T04:43:48.629Z,2026-08-03T04:44:18.630Z,30001,238163,15570,86124,53886,393743,423744
28,1,2026-08-03T04:45:23.613Z,2026-08-03T04:45:53.614Z,30001,143179,15570,145899,54112,358760,388761
29,1,2026-08-03T04:46:58.589Z,2026-08-03T04:47:28.590Z,30001,48203,15570,206095,93921,363789,393790
30,1,2026-08-03T04:48:33.588Z,2026-08-03T04:49:03.588Z,30000,309664,59141,15895,44099,428799,458799
31,1,2026-08-03T04:50:08.570Z,2026-08-03T04:50:38.570Z,30000,214682,59141,76115,43895,393833,423833
32,1,2026-08-03T04:51:43.541Z,2026-08-03T04:52:13.543Z,30002,119709,59141,135861,64160,378871,408873
33,1,2026-08-03T05:35:23.106Z,2026-08-03T05:35:53.108Z,30002,309405,70346,16049,123959,519759,549761
34,1,2026-08-03T05:36:58.076Z,2026-08-03T05:37:28.077Z,30001,214436,70346,151117,68912,504811,534812
35,1,2026-08-03T05:38:33.037Z,2026-08-03T05:39:03.038Z,30001,119475,70346,229257,30768,449846,479847
36,1,2026-08-03T05:40:08.010Z,2026-08-03T05:40:38.011Z,30001,24502,70346,271100,68934,434882,464883
37,1,2026-08-03T05:41:43.020Z,2026-08-03T05:42:13.022Z,30002,316134,63755,11136,48864,439889,469891
38,1,2026-08-03T05:43:18.356Z,2026-08-03T05:43:48.357Z,30001,220799,63755,70929,29078,384561,414562
39,1,2026-08-03T05:44:53.351Z,2026-08-03T05:45:23.352Z,30001,125804,63755,116496,23507,329562,359563
40,1,2026-08-03T05:46:28.314Z,2026-08-03T05:46:58.315Z,30001,30841,63755,146148,53866,294610,324611
41,1,2026-08-03T05:48:04.409Z,2026-08-03T05:48:34.410Z,30001,325289,53269,9545,30441,418544,448545
42,1,2026-08-03T05:49:39.387Z,2026-08-03T05:50:09.388Z,30001,230311,53269,51130,88861,423571,453572
43,1,2026-08-03T05:51:14.369Z,2026-08-03T05:51:44.371Z,30002,135328,53269,159707,60294,408598,438600
44,1,2026-08-03T05:52:49.345Z,2026-08-03T05:53:19.345Z,30000,40354,53269,230864,9143,333630,363630
45,1,2026-08-03T05:54:24.322Z,2026-08-03T05:54:54.323Z,30001,319911,58763,16377,63613,458664,488665
46,1,2026-08-03T05:55:59.307Z,2026-08-03T05:56:29.307Z,30000,224927,58763,91057,28938,403685,433685
47,1,2026-08-03T05:57:34.279Z,2026-08-03T05:58:04.280Z,30001,129954,58763,136413,43586,368716,398717
48,1,2026-08-03T05:59:09.247Z,2026-08-03T05:59:39.248Z,30001,34986,58763,196862,23148,313759,343760
49,1,2026-08-03T06:00:44.242Z,2026-08-03T06:01:14.244Z,30002,318607,80186,6420,93584,498797,528799
50,1,2026-08-03T06:02:19.613Z,2026-08-03T06:02:49.615Z,30002,223236,80186,110952,49066,463440,493442
51,1,2026-08-03T06:03:54.590Z,2026-08-03T06:04:24.593Z,30003,128258,80186,171131,88902,468477,498480
52,1,2026-08-03T06:05:29.582Z,2026-08-03T06:05:59.585Z,30003,33266,80186,276971,83063,473486,503489
53,3,2026-08-03T06:07:04.575Z,2026-08-03T06:07:34.579Z,30004,,,,,,
54,3,2026-08-03T06:08:39.549Z,2026-08-03T06:09:09.553Z,30004,,,,,,
55,3,2026-08-03T06:10:14.516Z,2026-08-03T06:10:44.520Z,30004,,,,,,
56,3,2026-08-03T06:11:49.869Z,2026-08-03T06:12:19.874Z,30005,,,,,,
57,1,2026-08-03T06:13:24.855Z,2026-08-03T06:13:54.860Z,30005,308061,50205,10138,49867,418271,448276
58,1,2026-08-03T06:14:59.835Z,2026-08-03T06:15:29.839Z,30004,213082,50205,66714,53308,383309,413313
59,1,2026-08-03T06:16:34.814Z,2026-08-03T06:17:04.819Z,30005,118102,50205,126837,73184,368328,398333
60,1,2026-08-03T06:18:09.795Z,2026-08-03T06:18:39.799Z,30004,23122,50205,216643,83396,373366,403370
61,1,2026-08-03T06:19:44.785Z,2026-08-03T06:20:14.790Z,30005,315360,63030,10905,69093,458388,488393
62,1,2026-08-03T06:21:19.787Z,2026-08-03T06:21:49.794Z,30007,220356,63030,86805,93206,463397,493404
63,1,2026-08-03T06:22:54.788Z,2026-08-03T06:23:24.793Z,30005,125357,63030,191077,88939,468403,498408
64,1,2026-08-03T06:24:29.792Z,2026-08-03T06:24:59.799Z,30007,30351,63030,299775,20247,413403,443410
65,3,2026-08-03T06:26:04.769Z,2026-08-03T06:26:34.774Z,30005,,,,,,
66,3,2026-08-03T06:27:39.745Z,2026-08-03T06:28:09.751Z,30006,,,,,,
67,3,2026-08-03T06:29:14.736Z,2026-08-03T06:29:44.741Z,30005,,,,,,
68,3,2026-08-03T06:30:49.713Z,2026-08-03T06:31:19.719Z,30006,,,,,,
69,1,2026-08-03T06:32:24.702Z,2026-08-03T06:32:54.708Z,30006,323119,75442,10951,69042,478554,508560
70,1,2026-08-03T06:34:00.040Z,2026-08-03T06:34:30.046Z,30006,227781,75442,86434,53578,443235,473241
71,1,2026-08-03T06:35:35.028Z,2026-08-03T06:36:05.034Z,30006,132793,75442,149913,50087,408235,438241
72,1,2026-08-03T06:37:10.005Z,2026-08-03T06:37:40.010Z,30005,37817,75442,206426,53591,373276,403281
73,1,2026-08-03T06:38:45.389Z,2026-08-03T06:39:15.393Z,30004,314713,23190,6793,33199,377895,407899
74,1,2026-08-03T06:40:20.401Z,2026-08-03T06:40:50.406Z,30005,219700,23190,50926,29063,322879,352884
75,1,2026-08-03T06:41:55.396Z,2026-08-03T06:42:25.400Z,30004,124706,23190,96499,23497,267892,297896
76,1,2026-08-03T06:43:30.382Z,2026-08-03T06:44:00.386Z,30004,29720,23190,126729,73277,252916,282920
77,1,2026-08-03T06:45:05.362Z,2026-08-03T06:45:35.366Z,30004,312374,65596,6683,73310,457963,487967
78,1,2026-08-03T06:46:40.346Z,2026-08-03T06:47:10.350Z,30004,217390,65596,96449,43548,422983,452987
79,1,2026-08-03T06:48:15.655Z,2026-08-03T06:48:45.658Z,30003,122082,65596,156711,63290,407679,437682
80,1,2026-08-03T06:49:50.623Z,2026-08-03T06:50:20.628Z,30005,27112,65596,230944,89073,412725,442730
81,1,2026-08-03T06:51:25.617Z,2026-08-03T06:51:55.621Z,30004,307738,70013,16418,63579,457748,487752
82,1,2026-08-03T06:53:00.587Z,2026-08-03T06:53:30.592Z,30005,212767,70013,91116,28888,402784,432789
83,1,2026-08-03T06:54:35.547Z,2026-08-03T06:55:05.551Z,30004,117808,70013,136674,23333,347828,377832
84,1,2026-08-03T06:56:10.517Z,2026-08-03T06:56:40.522Z,30005,22837,70013,166724,93302,352876,382881
85,1,2026-08-03T06:57:45.503Z,2026-08-03T06:58:15.506Z,30003,314650,183300,14098,85895,597943,627946
86,1,2026-08-03T06:59:20.472Z,2026-08-03T06:59:50.477Z,30005,219679,183300,116766,23231,542976,572981
87,1,2026-08-03T07:00:55.444Z,2026-08-03T07:01:25.447Z,30003,124709,183300,149928,70073,528010,558013
88,1,2026-08-03T07:02:30.420Z,2026-08-03T07:03:00.424Z,30004,29732,183300,236625,63390,513047,543051
89,1,2026-08-03T07:04:05.388Z,2026-08-03T07:04:35.391Z,30003,308988,29096,91212,48797,478093,508096
90,1,2026-08-03T07:05:40.383Z,2026-08-03T07:06:10.387Z,30004,213992,29096,150902,169119,563109,593113
91,1,2026-08-03T07:07:15.359Z,2026-08-03T07:07:45.362Z,30003,119017,29096,331290,128751,608154,638157
92,1,2026-08-03T07:08:50.685Z,2026-08-03T07:09:20.688Z,30003,23691,29096,466650,53412,572849,602852
93,3,2026-08-03T07:10:25.653Z,2026-08-03T07:10:55.656Z,30003,,,,,,
94,3,2026-08-03T07:12:00.648Z,2026-08-03T07:12:30.651Z,30003,,,,,,
95,3,2026-08-03T07:13:35.632Z,2026-08-03T07:14:05.635Z,30003,,,,,,
96,3,2026-08-03T07:15:10.607Z,2026-08-03T07:15:40.610Z,30003,,,,,,
97,1,2026-08-03T07:16:45.589Z,2026-08-03T07:17:15.593Z,30004,318074,19898,6485,73529,417986,447990
98,1,2026-08-03T07:18:20.593Z,2026-08-03T07:18:50.596Z,30003,223071,19898,96431,143605,483005,513008
99,1,2026-08-03T07:19:55.577Z,2026-08-03T07:20:25.581Z,30004,128086,19898,246660,113387,508031,538035
100,1,2026-08-03T07:21:30.563Z,2026-08-03T07:22:00.567Z,30004,33100,19898,381302,58749,493049,523053
101,1,2026-08-03T07:23:05.558Z,2026-08-03T07:23:35.562Z,30004,308971,49093,59606,40396,458066,488070
102,1,2026-08-03T07:24:40.532Z,2026-08-03T07:25:10.536Z,30004,213997,49093,116524,43478,423092,453096
103,1,2026-08-03T07:26:15.513Z,2026-08-03T07:26:45.517Z,30004,119016,49093,176561,43456,388126,418130
104,1,2026-08-03T07:27:50.499Z,2026-08-03T07:28:20.504Z,30005,24029,49093,236610,43403,353135,383140
105,1,2026-08-03T07:29:25.498Z,2026-08-03T07:29:55.502Z,30004,307929,50230,6426,93590,458175,488179
106,1,2026-08-03T07:31:00.496Z,2026-08-03T07:31:30.500Z,30004,212931,50230,110865,69165,443191,473195
107,1,2026-08-03T07:32:35.484Z,2026-08-03T07:33:05.488Z,30004,117943,50230,186640,53407,408220,438224
108,1,2026-08-03T07:34:10.460Z,2026-08-03T07:34:40.464Z,30004,22967,50230,246392,33648,353237,383241
109,1,2026-08-03T07:35:45.450Z,2026-08-03T07:36:15.454Z,30004,314831,63455,14005,65991,458282,488286
110,1,2026-08-03T07:37:20.441Z,2026-08-03T07:37:50.446Z,30005,219839,63455,86650,93358,463302,493307
111,1,2026-08-03T07:38:55.438Z,2026-08-03T07:39:25.442Z,30004,124843,63455,194240,25764,408302,438306
